MS.Zoning,Street,Lot.Shape,Land.Contour,Utilities,Lot.Config,Land.Slope,Neighborhood,Condition.1,Condition.2,Bldg.Type,House.Style,Overall.Qual,Year.Built,Year.Remod.Add,Roof.Style,Roof.Matl,Exterior.1st,Exterior.2nd,Mas.Vnr.Type,Mas.Vnr.Area,Exter.Qual,Exter.Cond,Foundation,Bsmt.Qual,Bsmt.Cond,Bsmt.Exposure,BsmtFin.Type.1,BsmtFin.Type.2,Total.Bsmt.SF,Heating,Heating.QC,Central.Air,Electrical,X1st.Flr.SF,Full.Bath,Kitchen.Qual,TotRms.AbvGrd,Functional,Fireplace.Qu,Garage.Type,Garage.Yr.Blt,Garage.Finish,Garage.Cars,Garage.Area,Garage.Qual,Garage.Cond,Paved.Drive,Sale.Type,Sale.Condition,SalePrice
RL,Pave,IR1,Lvl,AllPub,Corner,Gtl,Gilbert,Norm,Norm,1Fam,2Story,6,1993,1994,Gable,CompShg,HdBoard,HdBoard,None,0.0,TA,TA,PConc,Gd,TA,No,Unf,Unf,763.0,GasA,Gd,Y,SBrkr,763,2,TA,7,Typ,TA,Attchd,1993.0,Fin,2.0,440.0,TA,TA,Y,WD ,Normal,175900
RL,Pave,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,1Story,6,1992,2007,Gable,CompShg,HdBoard,HdBoard,None,0.0,TA,Gd,PConc,Gd,TA,No,ALQ,Unf,1168.0,GasA,Ex,Y,SBrkr,1187,2,TA,6,Typ,NA,Attchd,1992.0,Fin,2.0,420.0,TA,TA,Y,WD ,Normal,185000
RL,Pave,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,6,1998,1998,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,PConc,Gd,TA,No,Unf,Unf,789.0,GasA,Gd,Y,SBrkr,789,2,TA,7,Typ,Gd,Attchd,1998.0,Fin,2.0,393.0,TA,TA,Y,WD ,Normal,180400
RL,Pave,Reg,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,1Story,7,1990,1990,Gable,CompShg,HdBoard,HdBoard,None,0.0,TA,TA,PConc,Gd,TA,Gd,GLQ,Unf,1300.0,GasA,Gd,Y,SBrkr,1341,1,Gd,5,Typ,Po,Attchd,1990.0,Unf,2.0,506.0,TA,TA,Y,WD ,Normal,171500
RL,Pave,IR1,Lvl,AllPub,Corner,Gtl,StoneBr,Norm,Norm,TwnhsE,1Story,8,1985,1985,Gable,CompShg,HdBoard,HdBoard,None,0.0,Gd,TA,PConc,Gd,TA,Av,GLQ,BLQ,1488.0,GasA,TA,Y,SBrkr,1502,1,Gd,4,Typ,NA,Attchd,1985.0,RFn,2.0,528.0,TA,TA,Y,WD ,Normal,212000
RL,Pave,IR2,HLS,AllPub,CulDSac,Mod,StoneBr,Norm,Norm,1Fam,2Story,8,2003,2003,Hip,CompShg,CemntBd,Wd Shng,BrkFace,603.0,Ex,TA,PConc,Gd,TA,Gd,ALQ,Unf,1650.0,GasA,Ex,Y,SBrkr,1690,3,Ex,12,Mod,Gd,BuiltIn,2003.0,Fin,3.0,841.0,TA,TA,Y,WD ,Normal,538000
RL,Pave,IR1,Bnk,AllPub,Inside,Mod,Gilbert,Norm,Norm,1Fam,1.5Fin,8,1988,2005,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,Gd,TA,Wood,Gd,TA,Av,GLQ,Unf,559.0,GasA,Gd,Y,SBrkr,1080,2,TA,8,Typ,NA,Basment,1988.0,RFn,2.0,492.0,TA,TA,Y,WD ,Normal,164000
RL,Pave,Reg,Lvl,AllPub,Corner,Gtl,StoneBr,Norm,Norm,1Fam,1Story,9,2010,2010,Hip,CompShg,VinylSd,VinylSd,Stone,350.0,Gd,TA,PConc,Ex,TA,Av,GLQ,Unf,1856.0,GasA,Ex,Y,SBrkr,1856,1,Ex,8,Typ,Ex,Attchd,2010.0,Fin,3.0,834.0,TA,TA,Y,New,Partial,394432
RL,Pave,Reg,Lvl,AllPub,Corner,Gtl,Gilbert,Norm,Norm,1Fam,1Story,4,1951,1951,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,CBlock,TA,TA,No,LwQ,Unf,864.0,GasA,Ex,Y,SBrkr,864,1,TA,4,Typ,NA,Detchd,1951.0,Unf,2.0,400.0,TA,TA,Y,WD ,Normal,141000
RL,Pave,Reg,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,1Story,6,1978,1988,Gable,CompShg,Plywood,Plywood,Stone,119.0,TA,TA,CBlock,Gd,TA,No,ALQ,Rec,1542.0,GasA,TA,Y,SBrkr,2073,2,TA,7,Min1,TA,Attchd,1978.0,Unf,2.0,500.0,TA,TA,Y,WD ,Normal,210000
RL,Pave,IR1,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,1Story,6,1977,1977,Hip,CompShg,Plywood,Plywood,BrkFace,480.0,TA,TA,CBlock,Gd,TA,No,BLQ,Unf,1844.0,GasA,Ex,Y,SBrkr,1844,2,TA,7,Typ,TA,Attchd,1977.0,RFn,2.0,546.0,TA,TA,Y,COD,Normal,190000
RL,Pave,Reg,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,SFoyer,7,1974,1974,Gable,CompShg,Plywood,Plywood,BrkFace,81.0,TA,TA,CBlock,Gd,TA,Gd,GLQ,LwQ,1053.0,GasA,TA,Y,SBrkr,1173,2,Gd,6,Typ,TA,Attchd,1974.0,RFn,2.0,528.0,TA,TA,Y,WD ,Family,170000
FV,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,2Story,7,2000,2000,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,No,GLQ,Unf,814.0,GasA,Ex,Y,SBrkr,814,2,Gd,7,Typ,NA,Attchd,2000.0,RFn,2.0,663.0,TA,TA,Y,WD ,Normal,216000
RL,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,1970,1970,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,180.0,TA,TA,CBlock,TA,TA,No,ALQ,Unf,1004.0,GasA,Ex,Y,SBrkr,1004,1,TA,5,Typ,TA,Attchd,1970.0,Fin,2.0,480.0,TA,TA,Y,WD ,Normal,149000
RL,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,1971,2008,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,CBlock,TA,TA,No,GLQ,Unf,1078.0,GasA,Ex,Y,SBrkr,1078,1,TA,6,Typ,Fa,Attchd,1971.0,Fin,2.0,500.0,TA,TA,Y,WD ,Normal,149900
RL,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,1968,1968,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,CBlock,TA,TA,No,BLQ,Unf,1056.0,GasA,Ex,Y,SBrkr,1056,1,TA,6,Typ,Fa,Attchd,1968.0,Unf,1.0,304.0,TA,TA,Y,WD ,Normal,142000
RL,Pave,Reg,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,4,1970,1970,Gable,CompShg,Plywood,Plywood,None,0.0,TA,TA,CBlock,TA,TA,No,ALQ,Rec,882.0,GasA,TA,Y,SBrkr,882,1,TA,4,Typ,NA,Attchd,1970.0,Fin,2.0,525.0,TA,TA,Y,WD ,Normal,126000
RL,Pave,Reg,Lvl,AllPub,FR2,Gtl,NAmes,Norm,Norm,1Fam,1Story,4,1971,1971,Gable,CompShg,HdBoard,HdBoard,None,0.0,TA,TA,CBlock,TA,TA,No,ALQ,Unf,864.0,GasA,TA,Y,SBrkr,864,1,TA,5,Typ,Po,NA,0.0,NA,0.0,0.0,NA,NA,Y,ConLI,Normal,115000
RH,Pave,IR1,Lvl,AllPub,FR2,Gtl,NAmes,Norm,Norm,TwnhsE,1Story,7,1999,1999,Gable,CompShg,MetalSd,MetalSd,None,0.0,Gd,TA,PConc,Gd,TA,No,GLQ,BLQ,1405.0,GasA,Ex,Y,SBrkr,1337,2,Gd,5,Typ,Fa,Attchd,1999.0,Fin,2.0,511.0,TA,TA,Y,WD ,Normal,184000
RM,Pave,Reg,Lvl,AllPub,Inside,Gtl,BrDale,Norm,Norm,Twnhs,2Story,6,1971,1971,Gable,CompShg,HdBoard,HdBoard,BrkFace,504.0,TA,TA,CBlock,TA,TA,No,Rec,Unf,483.0,GasA,TA,Y,SBrkr,483,1,TA,5,Typ,NA,Detchd,1971.0,Unf,1.0,264.0,TA,TA,Y,COD,Normal,96000
RM,Pave,Reg,Lvl,AllPub,Inside,Gtl,BrDale,Norm,Norm,Twnhs,2Story,5,1971,1971,Gable,CompShg,HdBoard,HdBoard,BrkFace,492.0,TA,TA,CBlock,TA,TA,No,Rec,Unf,525.0,GasA,TA,Y,SBrkr,525,1,TA,6,Typ,NA,Detchd,1997.0,Unf,1.0,320.0,TA,TA,Y,WD ,Normal,105500
RM,Pave,Reg,Lvl,AllPub,Inside,Gtl,BrDale,Norm,Norm,Twnhs,2Story,6,1971,1971,Gable,CompShg,HdBoard,ImStucc,BrkFace,381.0,TA,TA,CBlock,TA,TA,No,Unf,Unf,525.0,GasA,TA,Y,SBrkr,525,1,TA,6,Typ,NA,Detchd,1971.0,Unf,1.0,264.0,TA,TA,Y,WD ,Family,88000
RL,Pave,Reg,Lvl,AllPub,Inside,Gtl,NPkVill,Norm,Norm,TwnhsE,1Story,6,1977,1977,Gable,CompShg,Plywood,Plywood,None,0.0,TA,TA,CBlock,Gd,TA,No,ALQ,Unf,1069.0,GasA,TA,Y,SBrkr,1069,2,TA,4,Typ,Fa,Attchd,1977.0,RFn,2.0,440.0,TA,TA,Y,WD ,Normal,127500
RL,Pave,Reg,Lvl,AllPub,FR2,Gtl,NPkVill,Norm,Norm,Twnhs,2Story,6,1975,1975,Gable,CompShg,Plywood,Brk Cmn,None,0.0,TA,TA,CBlock,TA,TA,No,ALQ,Unf,855.0,GasA,TA,Y,SBrkr,855,2,Gd,6,Typ,TA,Attchd,1975.0,Unf,2.0,440.0,TA,TA,Y,WD ,Normal,149900
RL,Pave,Reg,Lvl,AllPub,FR2,Gtl,NPkVill,Norm,Norm,Twnhs,1Story,7,1975,1975,Gable,CompShg,Plywood,Brk Cmn,None,0.0,TA,TA,CBlock,Gd,TA,No,Unf,Unf,836.0,GasA,Ex,Y,SBrkr,836,1,TA,4,Typ,NA,Attchd,1975.0,Unf,1.0,308.0,TA,TA,Y,WD ,Normal,120000
RL,Pave,Reg,Lvl,AllPub,Inside,Gtl,NPkVill,Norm,Norm,Twnhs,2Story,6,1978,1978,Gable,CompShg,Plywood,Brk Cmn,None,0.0,TA,TA,CBlock,Gd,TA,No,ALQ,Unf,855.0,GasA,Fa,Y,SBrkr,855,2,TA,7,Typ,TA,Attchd,1978.0,Unf,2.0,440.0,TA,TA,Y,WD ,Normal,146000
RL,Pave,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,9,2009,2010,Gable,CompShg,VinylSd,VinylSd,Stone,162.0,Ex,TA,PConc,Ex,TA,No,Unf,Unf,1590.0,GasA,Ex,Y,SBrkr,1627,2,Ex,10,Typ,Gd,Attchd,2009.0,Fin,3.0,751.0,TA,TA,Y,New,Partial,376162
RL,Pave,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,2007,2008,Gable,CompShg,VinylSd,VinylSd,Stone,200.0,Gd,TA,PConc,Ex,TA,No,GLQ,Unf,1704.0,GasA,Ex,Y,SBrkr,1704,2,Gd,7,Typ,Gd,Attchd,2008.0,RFn,3.0,772.0,TA,TA,Y,WD ,Normal,306000
RL,Pave,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,9,2009,2010,Hip,CompShg,VinylSd,VinylSd,Stone,450.0,Ex,TA,PConc,Ex,TA,Av,GLQ,Unf,1930.0,GasA,Ex,Y,SBrkr,1940,2,Ex,8,Typ,Gd,Attchd,2010.0,Fin,3.0,606.0,TA,TA,Y,New,Partial,395192
RL,Pave,IR1,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,2009,2010,Gable,CompShg,VinylSd,VinylSd,Stone,256.0,Gd,TA,PConc,Gd,TA,No,Unf,Unf,1544.0,GasA,Ex,Y,SBrkr,1544,2,Gd,7,Typ,NA,Attchd,2009.0,RFn,3.0,868.0,TA,TA,Y,New,Partial,290941
RL,Pave,Reg,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,1Story,7,2005,2005,Gable,CompShg,VinylSd,VinylSd,BrkFace,226.0,Gd,TA,PConc,Gd,TA,Mn,BLQ,Unf,1541.0,GasA,Ex,Y,SBrkr,1541,2,Gd,7,Typ,Gd,Attchd,2005.0,RFn,2.0,532.0,TA,TA,Y,New,Partial,220000
RL,Pave,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,PosN,Norm,1Fam,1Story,9,2005,2005,Hip,CompShg,VinylSd,VinylSd,BrkFace,615.0,Gd,TA,PConc,Ex,TA,No,GLQ,Unf,1698.0,GasA,Ex,Y,SBrkr,1698,2,Ex,7,Typ,Gd,Attchd,2005.0,Fin,3.0,730.0,TA,TA,Y,WD ,Normal,275000
RL,Pave,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,2005,2006,Hip,CompShg,CemntBd,CmentBd,BrkFace,240.0,Gd,TA,PConc,Ex,TA,No,GLQ,Unf,1822.0,GasA,Ex,Y,SBrkr,1822,2,Ex,8,Typ,Gd,Attchd,2005.0,RFn,3.0,678.0,TA,TA,Y,WD ,Normal,259000
RL,Pave,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,7,2004,2004,Gable,CompShg,VinylSd,VinylSd,BrkFace,168.0,Gd,TA,PConc,Gd,TA,No,GLQ,Unf,1517.0,GasA,Ex,Y,SBrkr,1535,2,Gd,7,Typ,NA,Attchd,2004.0,RFn,2.0,532.0,TA,TA,Y,WD ,Normal,214000
RL,Pave,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,9,2009,2010,Hip,CompShg,VinylSd,VinylSd,Stone,760.0,Ex,TA,PConc,Ex,TA,Gd,GLQ,Unf,2330.0,GasA,Ex,Y,SBrkr,2364,2,Ex,11,Typ,Gd,Attchd,2009.0,Fin,3.0,820.0,TA,TA,Y,New,Partial,611657
RL,Pave,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,7,2009,2010,Gable,CompShg,VinylSd,VinylSd,Stone,128.0,Gd,TA,PConc,Gd,TA,Mn,GLQ,Unf,1358.0,GasA,Ex,Y,SBrkr,1358,2,Gd,6,Typ,Gd,Attchd,2010.0,RFn,2.0,484.0,TA,TA,Y,New,Partial,224000
RL,Pave,Reg,HLS,AllPub,Inside,Mod,NridgHt,Norm,Norm,1Fam,1Story,9,2003,2004,Hip,CompShg,VinylSd,VinylSd,BrkFace,1095.0,Ex,TA,PConc,Ex,TA,Gd,GLQ,Unf,2846.0,GasA,Ex,Y,SBrkr,2696,2,Ex,10,Typ,Gd,Attchd,2003.0,Fin,3.0,958.0,TA,TA,Y,WD ,Normal,500000
RL,Pave,Reg,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,2Story,8,2002,2002,Gable,CompShg,VinylSd,VinylSd,BrkFace,232.0,Gd,TA,PConc,Gd,TA,Gd,GLQ,Unf,1671.0,GasA,Ex,Y,SBrkr,1687,2,Gd,7,Typ,Ex,Attchd,2002.0,Fin,3.0,756.0,TA,TA,Y,WD ,Normal,320000
RL,Pave,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,9,2005,2005,Hip,CompShg,MetalSd,MetalSd,BrkFace,412.0,Ex,TA,PConc,Ex,TA,No,GLQ,Unf,1752.0,GasA,Ex,Y,SBrkr,1752,2,Ex,6,Typ,Gd,Attchd,2005.0,RFn,2.0,576.0,TA,TA,Y,WD ,Normal,319900
RL,Pave,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,8,2006,2006,Gable,CompShg,VinylSd,VinylSd,Stone,178.0,Gd,TA,PConc,Gd,TA,Mn,GLQ,Unf,1370.0,GasA,Ex,Y,SBrkr,1370,2,Gd,6,Typ,Gd,Attchd,2006.0,RFn,2.0,484.0,TA,TA,Y,WD ,Normal,205000
RL,Pave,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,Twnhs,2Story,7,2003,2003,Gable,CompShg,VinylSd,Wd Shng,Stone,106.0,Gd,TA,PConc,Gd,TA,No,Unf,Unf,764.0,GasA,Ex,Y,SBrkr,764,2,Gd,6,Typ,NA,BuiltIn,2003.0,RFn,2.0,474.0,TA,TA,Y,WD ,Normal,175500
RL,Pave,IR1,Lvl,AllPub,Corner,Gtl,Gilbert,Norm,Norm,1Fam,1Story,6,2005,2005,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,No,Unf,Unf,1324.0,GasA,Ex,Y,SBrkr,1324,2,Gd,6,Typ,NA,Attchd,2005.0,Fin,2.0,430.0,TA,TA,Y,WD ,Normal,199500
RL,Pave,Reg,Lvl,AllPub,Inside,Gtl,Blmngtn,Norm,Norm,TwnhsE,1Story,7,2006,2006,Gable,CompShg,VinylSd,VinylSd,BrkFace,14.0,Gd,TA,PConc,Gd,TA,Av,GLQ,Unf,1145.0,GasA,Ex,Y,SBrkr,1145,2,Gd,6,Typ,NA,Attchd,2006.0,Fin,2.0,437.0,TA,TA,Y,WD ,Normal,160000
RL,Pave,Reg,Lvl,AllPub,Inside,Gtl,Blmngtn,Norm,Norm,TwnhsE,1Story,8,2004,2005,Gable,CompShg,VinylSd,VinylSd,BrkFace,16.0,Gd,TA,PConc,Gd,TA,No,GLQ,Unf,1256.0,GasA,Ex,Y,SBrkr,1269,2,Gd,6,Typ,TA,Attchd,2004.0,Fin,2.0,430.0,TA,TA,Y,WD ,Normal,192000
RL,Pave,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,SLvl,7,2004,2004,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,No,GLQ,Unf,384.0,GasA,Ex,Y,SBrkr,744,2,Gd,7,Typ,Gd,BuiltIn,2004.0,Fin,2.0,400.0,TA,TA,Y,WD ,Normal,184500
RL,Pave,Reg,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,6,2002,2002,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,No,GLQ,Unf,860.0,GasA,Ex,Y,SBrkr,860,2,Gd,8,Typ,TA,BuiltIn,2002.0,Fin,2.0,440.0,TA,TA,Y,WD ,Normal,216500
RL,Pave,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,7,2004,2004,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,No,Unf,Unf,847.0,GasA,Ex,Y,SBrkr,847,2,Gd,7,Typ,Gd,BuiltIn,2004.0,Fin,2.0,433.0,TA,TA,Y,WD ,Normal,185088
RL,Pave,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,SLvl,7,2000,2000,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,PConc,Gd,TA,No,GLQ,Unf,384.0,GasA,Ex,Y,SBrkr,774,2,TA,7,Typ,TA,BuiltIn,2000.0,Fin,2.0,400.0,TA,TA,Y,WD ,Normal,180000
RL,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,Gilbert,Norm,Norm,1Fam,2Story,7,2001,2001,Gable,CompShg,VinylSd,VinylSd,BrkFace,180.0,Gd,TA,PConc,Gd,TA,No,Unf,Unf,884.0,GasA,Ex,Y,SBrkr,884,2,Gd,8,Typ,Gd,BuiltIn,2001.0,Fin,2.0,434.0,TA,TA,Y,WD ,Normal,222500
RL,Pave,IR1,Lvl,AllPub,Corner,Gtl,NoRidge,Norm,Norm,1Fam,2Story,9,1999,1999,Gable,CompShg,VinylSd,VinylSd,BrkFace,165.0,Gd,TA,PConc,Gd,TA,No,Unf,Unf,1393.0,GasA,Ex,Y,SBrkr,1422,2,Gd,10,Typ,TA,BuiltIn,1999.0,Fin,3.0,779.0,TA,TA,Y,WD ,Normal,333168
RL,Pave,IR2,Lvl,AllPub,CulDSac,Gtl,NoRidge,Norm,Norm,1Fam,2Story,8,1998,1998,Hip,CompShg,VinylSd,VinylSd,BrkFace,114.0,Gd,TA,PConc,Ex,TA,No,Unf,Unf,1629.0,GasA,Ex,Y,SBrkr,1645,2,Gd,7,Typ,TA,Attchd,1998.0,Fin,3.0,962.0,TA,TA,Y,WD ,Normal,355000
RL,Pave,IR1,Lvl,AllPub,Inside,Gtl,NoRidge,Norm,Norm,1Fam,1Story,7,1996,1996,Hip,CompShg,VinylSd,VinylSd,BrkFace,338.0,Gd,TA,PConc,Gd,TA,No,GLQ,Unf,1720.0,GasA,Ex,Y,SBrkr,1720,2,Gd,7,Typ,TA,Attchd,1996.0,Fin,2.0,527.0,TA,TA,Y,WD ,Normal,260400
RL,Pave,IR1,Lvl,AllPub,Corner,Gtl,NoRidge,Norm,Norm,1Fam,2Story,8,1994,1995,Gable,CompShg,HdBoard,HdBoard,BrkFace,362.0,Gd,TA,PConc,Ex,TA,Av,GLQ,Unf,1463.0,GasA,Ex,Y,SBrkr,1500,2,Gd,9,Typ,TA,Attchd,1994.0,RFn,2.0,712.0,TA,TA,Y,WD ,Normal,325000
RL,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,NoRidge,Norm,Norm,1Fam,2Story,8,1999,2007,Gable,CompShg,VinylSd,VinylSd,BrkFace,348.0,Gd,TA,PConc,Gd,TA,No,GLQ,Unf,1152.0,GasA,Ex,Y,SBrkr,1164,2,Gd,9,Typ,Gd,Attchd,1999.0,Fin,3.0,671.0,TA,TA,Y,WD ,Normal,290000
RL,Pave,IR2,Lvl,AllPub,CulDSac,Gtl,NoRidge,Norm,Norm,1Fam,2Story,7,1998,1998,Gable,CompShg,VinylSd,VinylSd,BrkFace,30.0,Gd,TA,PConc,Gd,TA,No,Unf,Unf,1195.0,GasA,Gd,Y,SBrkr,1195,2,TA,7,Typ,NA,Attchd,1998.0,Fin,2.0,486.0,TA,TA,Y,WD ,Normal,221000
