Lot.Shape,Utilities,Land.Slope,Overall.Qual,Year.Built,Year.Remod.Add,Mas.Vnr.Area,Exter.Qual,Exter.Cond,Bsmt.Qual,Bsmt.Cond,Bsmt.Exposure,BsmtFin.Type.1,BsmtFin.Type.2,Total.Bsmt.SF,Heating.QC,Electrical,X1st.Flr.SF,Full.Bath,TotRms.AbvGrd,Functional,Fireplace.Qu,Garage.Yr.Blt,Garage.Finish,Garage.Cars,Garage.Area,Garage.Qual,Garage.Cond,Paved.Drive,SalePrice,Bldg.Type.2fmCon,Bldg.Type.Duplex,Bldg.Type.Twnhs,Bldg.Type.TwnhsE,Central.Air.Y,Condition.1.Feedr,Condition.1.Norm,Condition.1.PosA,Condition.1.PosN,Condition.1.RRAe,Condition.1.RRAn,Condition.1.RRNe,Condition.1.RRNn,Condition.2.Feedr,Condition.2.Norm,Condition.2.PosA,Condition.2.PosN,Condition.2.RRAe,Condition.2.RRAn,Condition.2.RRNn,Exterior.1st.AsphShn,Exterior.1st.BrkComm,Exterior.1st.BrkFace,Exterior.1st.CBlock,Exterior.1st.CemntBd,Exterior.1st.HdBoard,Exterior.1st.ImStucc,Exterior.1st.MetalSd,Exterior.1st.Plywood,Exterior.1st.PreCast,Exterior.1st.Stone,Exterior.1st.Stucco,Exterior.1st.VinylSd,Exterior.1st.Wd Sdng,Exterior.1st.WdShing,Exterior.2nd.AsphShn,Exterior.2nd.Brk Cmn,Exterior.2nd.BrkFace,Exterior.2nd.CBlock,Exterior.2nd.CmentBd,Exterior.2nd.HdBoard,Exterior.2nd.ImStucc,Exterior.2nd.MetalSd,Exterior.2nd.Other,Exterior.2nd.Plywood,Exterior.2nd.PreCast,Exterior.2nd.Stone,Exterior.2nd.Stucco,Exterior.2nd.VinylSd,Exterior.2nd.Wd Sdng,Exterior.2nd.Wd Shng,Foundation.CBlock,Foundation.PConc,Foundation.Slab,Foundation.Stone,Foundation.Wood,Garage.Type.Attchd,Garage.Type.Basment,Garage.Type.BuiltIn,Garage.Type.CarPort,Garage.Type.Detchd,Garage.Type.NA,Heating.GasA,Heating.GasW,Heating.Grav,Heating.OthW,Heating.Wall,House.Style.1.5Unf,House.Style.1Story,House.Style.2.5Fin,House.Style.2.5Unf,House.Style.2Story,House.Style.SFoyer,House.Style.SLvl,Kitchen.Qual.Fa,Kitchen.Qual.Gd,Kitchen.Qual.Po,Kitchen.Qual.TA,Land.Contour.HLS,Land.Contour.Low,Land.Contour.Lvl,Lot.Config.CulDSac,Lot.Config.FR2,Lot.Config.FR3,Lot.Config.Inside,MS.Zoning.C,MS.Zoning.FV,MS.Zoning.I,MS.Zoning.RH,MS.Zoning.RL,MS.Zoning.RM,Mas.Vnr.Type.BrkFace,Mas.Vnr.Type.CBlock,Mas.Vnr.Type.None,Mas.Vnr.Type.Stone,Neighborhood.Blueste,Neighborhood.BrDale,Neighborhood.BrkSide,Neighborhood.ClearCr,Neighborhood.CollgCr,Neighborhood.Crawfor,Neighborhood.Edwards,Neighborhood.Gilbert,Neighborhood.Greens,Neighborhood.GrnHill,Neighborhood.IDOTRR,Neighborhood.Landmrk,Neighborhood.MeadowV,Neighborhood.Mitchel,Neighborhood.NAmes,Neighborhood.NPkVill,Neighborhood.NWAmes,Neighborhood.NoRidge,Neighborhood.NridgHt,Neighborhood.OldTown,Neighborhood.SWISU,Neighborhood.Sawyer,Neighborhood.SawyerW,Neighborhood.Somerst,Neighborhood.StoneBr,Neighborhood.Timber,Neighborhood.Veenker,Roof.Matl.CompShg,Roof.Matl.Membran,Roof.Matl.Metal,Roof.Matl.Roll,Roof.Matl.Tar&Grv,Roof.Matl.WdShake,Roof.Matl.WdShngl,Roof.Style.Gable,Roof.Style.Gambrel,Roof.Style.Hip,Roof.Style.Mansard,Roof.Style.Shed,Sale.Condition.AdjLand,Sale.Condition.Alloca,Sale.Condition.Family,Sale.Condition.Normal,Sale.Condition.Partial,Sale.Type.CWD,Sale.Type.Con,Sale.Type.ConLD,Sale.Type.ConLI,Sale.Type.ConLw,Sale.Type.New,Sale.Type.Oth,Sale.Type.VWD,Sale.Type.WD ,Street.Pave
2,1,1,6,1993,1994,0.0,3,3,4,3,1,1,1,763.0,4,1,763,2,7,7,3,1993.0,3,2.0,440.0,3,3,1,175900,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
2,1,1,6,1992,2007,0.0,3,4,4,3,1,5,1,1168.0,5,1,1187,2,6,7,0,1992.0,3,2.0,420.0,3,3,1,185000,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
2,1,1,6,1998,1998,0.0,3,3,4,3,1,1,1,789.0,4,1,789,2,7,7,4,1998.0,3,2.0,393.0,3,3,1,180400,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
1,1,1,7,1990,1990,0.0,3,3,4,3,4,6,1,1300.0,4,1,1341,1,5,7,1,1990.0,1,2.0,506.0,3,3,1,171500,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
2,1,1,8,1985,1985,0.0,4,3,4,3,3,6,4,1488.0,3,1,1502,1,4,7,0,1985.0,2,2.0,528.0,3,3,1,212000,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
3,1,2,8,2003,2003,603.0,5,3,4,3,4,5,1,1650.0,5,1,1690,3,12,4,4,2003.0,3,3.0,841.0,3,3,1,538000,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
2,1,2,8,1988,2005,0.0,4,3,4,3,3,6,1,559.0,4,1,1080,2,8,7,0,1988.0,2,2.0,492.0,3,3,1,164000,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
1,1,1,9,2010,2010,350.0,4,3,5,3,3,6,1,1856.0,5,1,1856,1,8,7,5,2010.0,3,3.0,834.0,3,3,1,394432,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
1,1,1,4,1951,1951,0.0,3,3,3,3,1,2,1,864.0,5,1,864,1,4,7,0,1951.0,1,2.0,400.0,3,3,1,141000,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
1,1,1,6,1978,1988,119.0,3,3,4,3,1,5,3,1542.0,3,1,2073,2,7,6,3,1978.0,1,2.0,500.0,3,3,1,210000,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
2,1,1,6,1977,1977,480.0,3,3,4,3,1,4,1,1844.0,5,1,1844,2,7,7,3,1977.0,2,2.0,546.0,3,3,1,190000,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1,1,1,7,1974,1974,81.0,3,3,4,3,4,6,2,1053.0,3,1,1173,2,6,7,3,1974.0,2,2.0,528.0,3,3,1,170000,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
1,1,1,7,2000,2000,0.0,4,3,4,3,1,6,1,814.0,5,1,814,2,7,7,0,2000.0,2,2.0,663.0,3,3,1,216000,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
2,1,1,6,1970,1970,180.0,3,3,3,3,1,5,1,1004.0,5,1,1004,1,5,7,3,1970.0,3,2.0,480.0,3,3,1,149000,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
2,1,1,5,1971,2008,0.0,3,3,3,3,1,6,1,1078.0,5,1,1078,1,6,7,2,1971.0,3,2.0,500.0,3,3,1,149900,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
1,1,1,5,1968,1968,0.0,3,3,3,3,1,4,1,1056.0,5,1,1056,1,6,7,2,1968.0,1,1.0,304.0,3,3,1,142000,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
